iter	Logloss
0	0.6772528593
1	0.6634596762
2	0.6467055605
3	0.6303168076
4	0.6165219246
5	0.6028033104
6	0.5890735053
7	0.5751947494
8	0.5608962382
9	0.5490009847
10	0.5394808011
11	0.526844349
12	0.5152321677
13	0.5044984973
14	0.4932068378
15	0.481757341
16	0.4715937314
17	0.4620305105
18	0.4532988957
19	0.4441860987
20	0.4363773098
21	0.4286535968
22	0.419705921
23	0.4109796577
24	0.4044546119
25	0.3976561071
26	0.3910467103
27	0.384028364
28	0.3775321557
29	0.3725281806
30	0.3672648229
31	0.3608806008
32	0.3546685402
33	0.3484368148
34	0.343576377
35	0.3388098758
36	0.3350741139
37	0.3314061441
38	0.326951527
39	0.322807975
40	0.3180998115
41	0.3138669745
42	0.3094082308
43	0.3054616727
44	0.3010988937
45	0.2987258484
46	0.2950675176
47	0.2909048707
48	0.2875966834
49	0.2858207572
50	0.282717599
51	0.2796981021
52	0.2766363446
53	0.2744601816
54	0.2715376395
55	0.2686034448
56	0.2660103644
57	0.2634172394
58	0.2605986536
59	0.2587960748
60	0.2567871471
61	0.2542989767
62	0.2528597046
63	0.2505641493
64	0.2491204486
65	0.2469549239
66	0.2445786678
67	0.2424499859
68	0.2406658576
69	0.2385191584
70	0.2365684133
71	0.2345648333
72	0.2331571011
73	0.2314093871
74	0.229586755
75	0.2277497015
76	0.2264765789
77	0.2253141538
78	0.2237331968
79	0.2216363679
80	0.2204931057
81	0.2199862877
82	0.2182006911
83	0.2170360426
84	0.2161196064
85	0.215349036
86	0.2146648593
87	0.2136211338
88	0.2121393434
89	0.2108817157
90	0.2099912496
91	0.2093932209
92	0.2086313646
93	0.2073836515
94	0.2064653335
95	0.2050608762
96	0.2043871967
97	0.2035272989
98	0.2030022162
99	0.2016007998
100	0.2000806738
101	0.1985842107
102	0.1979859601
103	0.1975741777
104	0.196411909
105	0.1959596563
106	0.1948003475
107	0.1941263746
108	0.1938381412
109	0.1930561287
110	0.1921872822
111	0.1918565338
112	0.191477349
113	0.1910885315
114	0.1909087312
115	0.1905098071
116	0.1899326688
117	0.1890073425
118	0.1883905592
119	0.1880183052
120	0.1875719479
121	0.1873314529
122	0.1866783143
123	0.186309105
124	0.1859195722
125	0.1856126571
126	0.1851611019
127	0.1847450095
128	0.1844945231
129	0.1835231336
130	0.1832349094
131	0.1827891814
132	0.1823858882
133	0.1820348803
134	0.1816673388
135	0.1813166236
136	0.1806491533
137	0.1803276016
138	0.1797127315
139	0.1793848884
140	0.1790027233
141	0.1786507095
142	0.1782845294
143	0.1780790167
144	0.1773005501
145	0.1769100136
146	0.1764384973
147	0.176131271
148	0.1757789793
149	0.1756553695
150	0.1753642926
151	0.1749297283
152	0.1745874185
153	0.1742450295
154	0.174004615
155	0.1737314734
156	0.1734725939
157	0.1731262727
158	0.1727427178
159	0.1722945237
160	0.1719232794
161	0.1715606282
